epoch,train mae,train rmse,test mae,test rmse
1,0.0726152,0.0989886,0.0740541,0.101255
2,0.072558,0.0982573,0.073478,0.0997427
3,0.0712805,0.0979485,0.0728509,0.100211
4,0.0714969,0.0971785,0.0729607,0.0996521
5,0.0698695,0.0951012,0.0725832,0.0991084
6,0.0716519,0.0967376,0.0737688,0.100621
7,0.0715798,0.0963326,0.074216,0.100137
8,0.070548,0.0961375,0.0726984,0.0997333
9,0.0708987,0.0963964,0.0732615,0.0999422
